model,feature
M4-PitcherID,asof_batter_n
M4-PitcherID,asof_batter_success_rate
M4-PitcherID,asof_batter_middle_rate
M4-PitcherID,asof_pitcher_pitchmix_n
M4-PitcherID,asof_pitcher_fastball_rate
M4-PitcherID,asof_pitcher_breaking_rate
M4-PitcherID,asof_pitcher_offspeed_rate
M4-PitcherID,pitcher_id
M3-Historical-Reduced,season
M3-Historical-Reduced,game_month
M3-Historical-Reduced,game_dayofweek
M3-Historical-Reduced,inning
M3-Historical-Reduced,top_bottom
M3-Historical-Reduced,game_type
M3-Historical-Reduced,balls_before
M3-Historical-Reduced,strikes_before
M3-Historical-Reduced,outs_before
M3-Historical-Reduced,run_top_before
M3-Historical-Reduced,run_bot_before
M3-Historical-Reduced,score_diff_home
M3-Historical-Reduced,score_diff_pitcher_team
M3-Historical-Reduced,runner_on_1b
M3-Historical-Reduced,runner_on_2b
M3-Historical-Reduced,runner_on_3b
M3-Historical-Reduced,base_state
M3-Historical-Reduced,home_win_expectancy
M3-Historical-Reduced,away_win_expectancy
M3-Historical-Reduced,li
M3-Historical-Reduced,batter_id
M3-Historical-Reduced,pitcher_hand
M3-Historical-Reduced,batter_hand
M3-Historical-Reduced,pitcher_team_id
M3-Historical-Reduced,batter_team_id
M3-Historical-Reduced,asof_pitcher_n
M3-Historical-Reduced,asof_pitcher_success_rate
M3-Historical-Reduced,asof_pitcher_reverse_rate
M3-Historical-Reduced,asof_pitcher_middle_rate
M3-Historical-Reduced,asof_pitcher_ball_rate
M3-Historical-Reduced,asof_pitcher_strike_rate
M3-Historical-Reduced,asof_pitcher_prev1_game_success_rate
M3-Historical-Reduced,asof_pitcher_prev3_game_success_rate
M3-Historical-Reduced,asof_pitcher_prev5_game_success_rate
M3-Historical-Reduced,asof_pitcher_prev1_game_middle_rate
M3-Historical-Reduced,asof_pitcher_prev3_game_middle_rate
M3-Historical-Reduced,asof_pitcher_prev5_game_middle_rate
M3-Historical-Reduced,asof_batter_n
M3-Historical-Reduced,asof_batter_success_rate
M3-Historical-Reduced,asof_batter_middle_rate
M3-Historical-Reduced,asof_pitcher_fastball_rate
M3-Historical-Reduced,asof_pitcher_breaking_rate
M3-Historical-Reduced,asof_pitcher_offspeed_rate
M4-PitcherID-Reduced,season
M4-PitcherID-Reduced,game_month
M4-PitcherID-Reduced,game_dayofweek
M4-PitcherID-Reduced,inning
M4-PitcherID-Reduced,top_bottom
M4-PitcherID-Reduced,game_type
M4-PitcherID-Reduced,balls_before
M4-PitcherID-Reduced,strikes_before
M4-PitcherID-Reduced,outs_before
M4-PitcherID-Reduced,run_top_before
M4-PitcherID-Reduced,run_bot_before
M4-PitcherID-Reduced,score_diff_home
M4-PitcherID-Reduced,score_diff_pitcher_team
M4-PitcherID-Reduced,runner_on_1b
M4-PitcherID-Reduced,runner_on_2b
M4-PitcherID-Reduced,runner_on_3b
M4-PitcherID-Reduced,base_state
M4-PitcherID-Reduced,home_win_expectancy
M4-PitcherID-Reduced,away_win_expectancy
M4-PitcherID-Reduced,li
M4-PitcherID-Reduced,batter_id
M4-PitcherID-Reduced,pitcher_hand
M4-PitcherID-Reduced,batter_hand
M4-PitcherID-Reduced,pitcher_team_id
M4-PitcherID-Reduced,batter_team_id
M4-PitcherID-Reduced,asof_pitcher_n
M4-PitcherID-Reduced,asof_pitcher_success_rate
M4-PitcherID-Reduced,asof_pitcher_reverse_rate
M4-PitcherID-Reduced,asof_pitcher_middle_rate
M4-PitcherID-Reduced,asof_pitcher_ball_rate
M4-PitcherID-Reduced,asof_pitcher_strike_rate
M4-PitcherID-Reduced,asof_pitcher_prev1_game_success_rate
M4-PitcherID-Reduced,asof_pitcher_prev3_game_success_rate
M4-PitcherID-Reduced,asof_pitcher_prev5_game_success_rate
M4-PitcherID-Reduced,asof_pitcher_prev1_game_middle_rate
M4-PitcherID-Reduced,asof_pitcher_prev3_game_middle_rate
M4-PitcherID-Reduced,asof_pitcher_prev5_game_middle_rate
M4-PitcherID-Reduced,asof_batter_n
M4-PitcherID-Reduced,asof_batter_success_rate
M4-PitcherID-Reduced,asof_batter_middle_rate
M4-PitcherID-Reduced,asof_pitcher_fastball_rate
M4-PitcherID-Reduced,asof_pitcher_breaking_rate
M4-PitcherID-Reduced,asof_pitcher_offspeed_rate
M4-PitcherID-Reduced,pitcher_id
