model,feature,is_pitcher_id,is_historical
LR-C-Historical,runner_on_1b,False,False
LR-C-Historical,runner_on_2b,False,False
LR-C-Historical,runner_on_3b,False,False
LR-C-Historical,num_runners_on,False,False
LR-C-Historical,base_state,False,False
LR-C-Historical,home_win_expectancy,False,False
LR-C-Historical,away_win_expectancy,False,False
LR-C-Historical,li,False,False
LR-C-Historical,batter_id,False,False
LR-C-Historical,pitcher_hand,False,False
LR-C-Historical,batter_hand,False,False
LR-C-Historical,pitcher_team_id,False,False
LR-C-Historical,batter_team_id,False,False
LR-C-Historical,asof_pitcher_n,False,True
LR-C-Historical,asof_pitcher_success_rate,False,True
LR-C-Historical,asof_pitcher_reverse_rate,False,True
LR-C-Historical,asof_pitcher_middle_rate,False,True
LR-C-Historical,asof_pitcher_ball_rate,False,True
LR-C-Historical,asof_pitcher_strike_rate,False,True
LR-C-Historical,asof_pitcher_prev1_game_success_rate,False,True
LR-C-Historical,asof_pitcher_prev3_game_success_rate,False,True
LR-C-Historical,asof_pitcher_prev5_game_success_rate,False,True
LR-C-Historical,asof_pitcher_prev1_game_middle_rate,False,True
LR-C-Historical,asof_pitcher_prev3_game_middle_rate,False,True
LR-C-Historical,asof_pitcher_prev5_game_middle_rate,False,True
LR-C-Historical,asof_batter_n,False,True
LR-C-Historical,asof_batter_success_rate,False,True
LR-C-Historical,asof_batter_middle_rate,False,True
LR-C-Historical,asof_pitcher_pitchmix_n,False,True
LR-C-Historical,asof_pitcher_fastball_rate,False,True
LR-C-Historical,asof_pitcher_breaking_rate,False,True
LR-C-Historical,asof_pitcher_offspeed_rate,False,True
LR-D-PitcherID-Historical,season,False,False
LR-D-PitcherID-Historical,game_month,False,False
LR-D-PitcherID-Historical,game_dayofweek,False,False
LR-D-PitcherID-Historical,inning,False,False
LR-D-PitcherID-Historical,top_bottom,False,False
LR-D-PitcherID-Historical,game_type,False,False
LR-D-PitcherID-Historical,balls_before,False,False
LR-D-PitcherID-Historical,strikes_before,False,False
LR-D-PitcherID-Historical,outs_before,False,False
LR-D-PitcherID-Historical,run_top_before,False,False
LR-D-PitcherID-Historical,run_bot_before,False,False
LR-D-PitcherID-Historical,run_total_before,False,False
LR-D-PitcherID-Historical,score_diff_home,False,False
LR-D-PitcherID-Historical,score_diff_pitcher_team,False,False
LR-D-PitcherID-Historical,runner_on_1b,False,False
LR-D-PitcherID-Historical,runner_on_2b,False,False
LR-D-PitcherID-Historical,runner_on_3b,False,False
LR-D-PitcherID-Historical,num_runners_on,False,False
LR-D-PitcherID-Historical,base_state,False,False
LR-D-PitcherID-Historical,home_win_expectancy,False,False
LR-D-PitcherID-Historical,away_win_expectancy,False,False
LR-D-PitcherID-Historical,li,False,False
LR-D-PitcherID-Historical,batter_id,False,False
LR-D-PitcherID-Historical,pitcher_hand,False,False
LR-D-PitcherID-Historical,batter_hand,False,False
LR-D-PitcherID-Historical,pitcher_team_id,False,False
LR-D-PitcherID-Historical,batter_team_id,False,False
LR-D-PitcherID-Historical,pitcher_id,True,False
LR-D-PitcherID-Historical,asof_pitcher_n,False,True
LR-D-PitcherID-Historical,asof_pitcher_success_rate,False,True
LR-D-PitcherID-Historical,asof_pitcher_reverse_rate,False,True
LR-D-PitcherID-Historical,asof_pitcher_middle_rate,False,True
LR-D-PitcherID-Historical,asof_pitcher_ball_rate,False,True
LR-D-PitcherID-Historical,asof_pitcher_strike_rate,False,True
LR-D-PitcherID-Historical,asof_pitcher_prev1_game_success_rate,False,True
LR-D-PitcherID-Historical,asof_pitcher_prev3_game_success_rate,False,True
LR-D-PitcherID-Historical,asof_pitcher_prev5_game_success_rate,False,True
LR-D-PitcherID-Historical,asof_pitcher_prev1_game_middle_rate,False,True
LR-D-PitcherID-Historical,asof_pitcher_prev3_game_middle_rate,False,True
LR-D-PitcherID-Historical,asof_pitcher_prev5_game_middle_rate,False,True
LR-D-PitcherID-Historical,asof_batter_n,False,True
LR-D-PitcherID-Historical,asof_batter_success_rate,False,True
LR-D-PitcherID-Historical,asof_batter_middle_rate,False,True
LR-D-PitcherID-Historical,asof_pitcher_pitchmix_n,False,True
LR-D-PitcherID-Historical,asof_pitcher_fastball_rate,False,True
LR-D-PitcherID-Historical,asof_pitcher_breaking_rate,False,True
LR-D-PitcherID-Historical,asof_pitcher_offspeed_rate,False,True
